"Start.Time","End.Time","Bird.Call","Location","Distance","Date","Scientific.name","Confidence","File","resultsfile","studysite"
6,9,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.8779,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
7.5,10.5,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.9833,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
24,27,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.9122,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
40.5,43.5,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.986,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
61.5,64.5,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.8209,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
69,72,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.9338,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
78,81,"Acadian Flycatcher","eno","25m","0516","Empidonax virescens",0.9687,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
99,102,"Blue-gray Gnatcatcher","eno","25m","0516","Polioptila caerulea",0.248,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
109.5,112.5,"Blue-gray Gnatcatcher","eno","25m","0516","Polioptila caerulea",0.6267,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
112.5,115.5,"Blue-gray Gnatcatcher","eno","25m","0516","Polioptila caerulea",0.1993,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
172.5,175.5,"Carolina Wren","eno","25m","0516","Thryothorus ludovicianus",0.3182,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
180,183,"Carolina Wren","eno","25m","0516","Thryothorus ludovicianus",0.9176,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
186,189,"Carolina Wren","eno","25m","0516","Thryothorus ludovicianus",0.51,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
190.5,193.5,"Carolina Wren","eno","25m","0516","Thryothorus ludovicianus",0.1124,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
228,231,"Eastern Wood-Pewee","eno","25m","0516","Contopus virens",0.1138,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
244.5,247.5,"Eastern Wood-Pewee","eno","25m","0516","Contopus virens",0.1106,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
250.5,253.5,"Eastern Wood-Pewee","eno","25m","0516","Contopus virens",0.3144,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
259.5,262.5,"Eastern Wood-Pewee","eno","25m","0516","Contopus virens",0.2209,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
282,285,"Mourning Dove","eno","25m","0516","Zenaida macroura",0.0294,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
294,297,"Mourning Dove","eno","25m","0516","Zenaida macroura",0.1627,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
301.5,304.5,"Mourning Dove","eno","25m","0516","Zenaida macroura",0.0702,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
310.5,313.5,"Mourning Dove","eno","25m","0516","Zenaida macroura",0.1346,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
330,333,"Yellow-billed Cuckoo","eno","25m","0516","Coccyzus americanus",0.8902,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
336,339,"Yellow-billed Cuckoo","eno","25m","0516","Coccyzus americanus",0.8524,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
340.5,343.5,"Yellow-billed Cuckoo","eno","25m","0516","Coccyzus americanus",0.942,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0516.WAV","EnoRiver_25m_0516.BirdNET.results.csv","EnoRiver"
3,6,"Acadian Flycatcher","eno","25m","0521","Empidonax virescens",0.806,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
6,9,"Blue-gray Gnatcatcher","eno","25m","0521","Polioptila caerulea",0.6369,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
10.5,13.5,"Carolina Wren","eno","25m","0521","Thryothorus ludovicianus",0.4157,"Z:\Databases\CaterpillarsCount\AudioMoth\Playback\EnoRiver_25m_0521.WAV","EnoRiver_25m_0521.BirdNET.results.csv","EnoRiver"
