,Location.x,Bird.Call.x,Distance.x,jd,mean_noise,Confidence,Start.Time,End.Time,Bird.Call.y,Location.y,Distance.y,Comments
31,jmill,Acadian Flycatcher,25m,141,0.170275329,0.9047,12,15,Acadian Flycatcher,jmill,25m,
33,jmill,Acadian Flycatcher,50m,141,0.170275329,0.5524,21,24,Acadian Flycatcher,jmill,50m,
56,ncbg,Acadian Flycatcher,25m,138,0.116891304,0.9879,18,21,Acadian Flycatcher,ncbg,25m,
2,eno,Acadian Flycatcher,25m,142,0.088272184,0.8742,129,132,Acadian Flycatcher,eno,25m,
4,eno,Acadian Flycatcher,50m,142,0.088272184,0.7733,108,111,Acadian Flycatcher,eno,50m,
113,unc,Acadian Flycatcher,25m,137,0.06684613,0.8581,109.5,112.5,Acadian Flycatcher,unc,25m,
1,eno,Acadian Flycatcher,25m,137,0.059488474,0.986,40.5,43.5,Acadian Flycatcher,eno,25m,
114,unc,Acadian Flycatcher,25m,144,0.042783094,0.9849,112.5,115.5,Acadian Flycatcher,unc,25m,
116,unc,Acadian Flycatcher,50m,144,0.042783094,0.0812,61.5,64.5,Acadian Flycatcher,unc,50m,background building hum
57,ncbg,Acadian Flycatcher,25m,145,0.030292581,0.9755,82.5,85.5,Acadian Flycatcher,ncbg,25m,
58,ncbg,Acadian Flycatcher,25m,145,0.030292581,0.9755,85.5,88.5,Blue-gray Gnatcatcher,ncbg,25m,
60,ncbg,Acadian Flycatcher,50m,145,0.030292581,0.9711,40.5,43.5,Acadian Flycatcher,ncbg,50m,
115,unc,Acadian Flycatcher,25m,172,0.018531948,0.8837,40.5,43.5,Acadian Flycatcher,unc,25m,
117,unc,Acadian Flycatcher,50m,172,0.018531948,0.2049,58.5,61.5,Acadian Flycatcher,unc,50m,"Background hum of buildings, maybe a faint overlapping insect/bird noise but this was a pretty clean clip"
59,ncbg,Acadian Flycatcher,25m,166,0.016642522,0.9197,147,150,Acadian Flycatcher,ncbg,25m,
61,ncbg,Acadian Flycatcher,50m,166,0.016642522,0.6895,13.5,16.5,Acadian Flycatcher,ncbg,50m,
3,eno,Acadian Flycatcher,25m,170,0.015882865,0.8852,55.5,58.5,Acadian Flycatcher,eno,25m,
5,eno,Acadian Flycatcher,50m,170,0.015882865,0.1919,99,102,Acadian Flycatcher,eno,50m,Multiple overlapping bird sounds that occurred in same frequency band 
88,pridge,Acadian Flycatcher,25m,143,0.014564464,0.9701,87,90,Acadian Flycatcher,pridge,25m,
90,pridge,Acadian Flycatcher,50m,143,0.014564464,0.9029,81,84,Acadian Flycatcher,pridge,50m,
89,pridge,Acadian Flycatcher,25m,171,0.013529504,0.8736,118.5,121.5,Acadian Flycatcher,pridge,25m,
91,pridge,Acadian Flycatcher,50m,171,0.013529504,0.573,67.5,70.5,Acadian Flycatcher,pridge,50m,
32,jmill,Acadian Flycatcher,25m,169,0.007863383,0.915,172.5,175.5,Acadian Flycatcher,jmill,25m,
34,jmill,Acadian Flycatcher,50m,169,0.007863383,0.9498,9,12,Acadian Flycatcher,jmill,50m,
35,jmill,Blue-gray Gnatcatcher,25m,141,0.170275329,0.878,49.5,52.5,Blue-gray Gnatcatcher,jmill,25m,
37,jmill,Blue-gray Gnatcatcher,50m,141,0.170275329,0.1818,42,45,Blue-gray Gnatcatcher,jmill,50m,"loud cicadas, overlapping bird sounds that were closer than the playbacks "
62,ncbg,Blue-gray Gnatcatcher,25m,138,0.116891304,0.884,48,51,Blue-gray Gnatcatcher,ncbg,25m,
