Site Identifier,Location,Elevation (m),Nest Height (m),Substrate Relation,Substrate,Entrance Orientation,Cavity Entrance Diameter,Primary Habitat,Secondary Habitat,Human-Modified Habitat
L1037095,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037258,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037275,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037651,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038127,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038143,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039032,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039035,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039038,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042191,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042195,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042250,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042292,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1113180,US-NC,,,in,nesbox,,,,,
L1131654,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1425389,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L1425551,US-NC,,1.52400,in,nesbox,n,3.81000,NW-human,NW-grass,NW-park
L1425558,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-human,NW-park
L1425571,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-human,NW-road
L3563631,US-NC,167.64000,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L3602093,US-NC,,6.09600,in,nesbox,e,3.81000,NW-oth,NW-ry,
L3602114,US-NC,,1.52400,in,nesbox,e,3.17500,NW-ry,NW-ry,
L3794533,US-NC,688.84800,1.64590,in,nesbox,s,3.81000,NW-ag,NW-ag,
L3832934,US-NC,693.11520,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832941,US-NC,682.14240,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832943,US-NC,680.31360,1.64590,on,poptow,,,NW-ag,NW-ag,
L3832946,US-NC,677.26560,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832954,US-NC,679.39920,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832957,US-NC,669.03600,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832959,US-NC,678.48480,1.73740,on,poptow,,,NW-ag,NW-for,
L3832968,US-NC,707.13600,1.61540,on,poptow,,,NW-ag,NW-for,
L3832996,US-NC,677.57040,1.70690,on,poptow,,,NW-ag,NW-road,
L4410090,US-NC,,1.52400,in,nesbox,n,2.54000,NW-for,NW-ry,
L4443057,US-NC,99.97440,1.58500,in,nesbox,nw,1.50000,NW-ry,NW-ry,
L4451584,US-NC,198.12000,1.82880,under,poptow,,,NW-for,NW-fw,
L4752225,US-NC,263.95680,1.52400,in,nesbox,e,3.81000,NW-ry,NW-for,
L5634100,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-park,NW-park,
L5749955,US-NC,0.00000,1.82880,in,nesbox,ne,,NW-ry,NW-ry,
L5761941,US-NC,,1.82880,in,nesbox,ne,,NW-chap,NW-for,
L5867921,US-NC,,,in,nesbox,,,NW-park,NW-grass,
L2276378,US-NC,,1.52400,on,poptow,,,NW-ry,NW-fw,
L7220285,US-NC,204.21600,1.67640,in,nesbox,se,3.81000,NW-for,NW-fw,
L7220537,US-NC,204.21600,1.67640,in,nesbox,e,3.81000,NW-for,NW-ag,
L7256275,US-NC,,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L56714,US-NC,152.40000,1.59110,in,nesbox,e,4.14000,NW-ry,NW-ry,
L7275441,US-NC,270.11380,1.52400,in,nesbox,sw,3.81000,NW-ry,NW-for,
L8853687,US-NC,,1.57580,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8853726,US-NC,,1.62460,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8853788,US-NC,,1.54840,in,nesbox,ne,3.81000,NW-golf,NW-ry,
L8853881,US-NC,,1.65200,in,nesbox,s,3.81000,NW-ry,NW-ry,
L8853895,US-NC,,1.57580,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L8853918,US-NC,,1.52400,in,nesbox,n,3.81000,NW-golf,NW-ry,
L8853937,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L8853954,US-NC,,1.54840,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8853979,US-NC,,1.49960,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8853997,US-NC,,1.70080,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8854027,US-NC,,1.70080,in,nesbox,e,3.81000,NW-golf,NW-ry,
L8854063,US-NC,,1.77700,in,nesbox,e,3.81000,NW-ry,NW-ry,
L8854135,US-NC,,1.67640,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L8996488,US-NC,,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L9069442,US-NC,,1.60020,in,nesbox,w,3.81000,NW-ry,NW-ry,
L9130982,US-NC,,1.31980,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L9164878,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L9165337,US-NC,708.66000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9165473,US-NC,701.04000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9224290,US-NC,714.75600,1.52400,on,poptow,,,NW-ry,NW-for,
L9285437,US-NC,231.95280,1.82880,in,nesbox,e,3.81000,NW-ry,NW-ry,
L9353749,US-NC,120.09000,1.82880,on,poptow,,,NW-ry,NW-for,
L9056424,US-NC,853.44000,1.52400,in,nesbox,e,3.81000,NW-for,NW-for,
L9514555,US-NC,,1.57580,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10371535,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10690935,US-NC,222.50400,2.13360,in,nesbox,s,3.81000,NW-for,NW-golf,
L10683885,US-NC,222.50400,1.67640,in,nesbox,w,3.81000,NW-ry,NW-ry,
L10765858,US-NC,222.50400,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L10765914,US-NC,216.40800,1.52400,in,nesbox,sw,3.17500,NW-ry,NW-ry,
L10371429,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10891740,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10891799,US-NC,,1.37160,in,nesbox,se,3.81000,NW-ry,NW-golf,
L10683814,US-NC,222.50400,1.82880,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L3585836,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-park,NW-park,
L10940406,US-NC,99.97440,1.58500,in,nesbox,e,,NW-park,NW-park,
L10940514,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10949281,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-golf,
L9353569,US-NC,95.09760,1.82880,on,poptow,se,3.81000,NW-ry,NW-ag,
L11042130,US-NC,207.26400,2.13360,in,nesbox,e,3.81000,NW-road,NW-for,
L11042151,US-NC,207.26400,1.98120,in,nesbox,e,3.81000,NW-ag,NW-for,
L8995690,US-NC,853.44000,1.21920,in,nesbox,n,15.24000,NW-ry,NW-for,
L10742306,US-NC,216.40800,1.82880,in,nesbox,e,3.17500,NW-for,NW-ry,
L11335525,US-NC,270.11380,1.82880,in,nesbox,s,,NW-ry,NW-for,
L11481144,US-NC,646.78560,1.82880,in,nesbox,n,3.17500,NW-ry,NW-for,
L13034845,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13034930,US-NC,0.00000,1.52400,in,nesbox,e,,,,
L13035008,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035278,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13819832,US-NC,216.40800,1.67640,in,nesbox,s,3.81000,NW-park,NW-park,
L13826625,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L13474162,US-NC,,,in,nesbox,,,,,
L13467902,US-NC,,1.52400,in,nesbox,w,3.81000,NW-grass,NW-grass,
L13467965,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-grass,
L13467982,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,
L13474168,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L13951036,US-NC,,1.44780,in,nesbox,se,3.81000,NW-ry,NW-ry,
L13951193,US-NC,,1.64590,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L13951250,US-NC,,1.49350,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L13951294,US-NC,,1.64590,in,nesbox,e,3.81000,NW-ry,NW-ry,
L13559235,US-NC,,1.52400,in,nesbox,se,3.81000,NW-park,NW-park,
L13559342,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-park,
L13559381,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-for,
L13559253,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L13559391,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-for,
L13559418,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-for,
L13559429,US-NC,,1.52400,in,nesbox,n,3.81000,NW-park,NW-fw,
L13559467,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-park,
L14014652,US-NC,,1.44780,in,nesbox,se,3.81000,NW-ry,NW-golf,
L8853602,US-NC,,1.70690,in,nesbox,n,3.81000,NW-golf,NW-ry,
L8853844,US-NC,,1.57280,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8854014,US-NC,,1.60020,in,nesbox,sw,3.81000,NW-golf,NW-ry,
L8853830,US-NC,,1.62460,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L14066454,US-NC,,,in,nesbox,se,,NW-grass,NW-for,
L10949323,US-NC,,1.67640,in,nesbox,n,4.44500,NW-ry,NW-golf,
L14103253,US-NC,0.00000,1.46300,in,nesbox,e,,,,
L14145500,US-NC,0.00000,1.82880,in,nesbox,e,,,,
L14145608,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14145665,US-NC,0.00000,1.82880,in,nesbox,n,,,,
L14145900,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14145998,US-NC,0.00000,1.82880,in,nesbox,sw,,,,
L14146381,US-NC,0.00000,1.82880,in,nesbox,n,,,,
L9922607,US-NC,710.18400,1.52400,in,nesbox,s,3.81000,NW-park,NW-park,
L11465823,US-NC,853.44000,1.82880,in,nesbox,s,3.81000,NW-ry,NW-for,
L14326639,US-NC,244.14480,1.52400,on,poptow,,,NW-ry,NW-for,
L13474177,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-park,NW-park,
L14386075,US-NC,225.55200,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L14386136,US-NC,231.64800,1.37160,in,nesbox,se,3.81000,NW-ry,NW-ry,
L14405975,US-NC,0.00000,1.82880,in,nesbox,,,,,
L14406092,US-NC,0.00000,2.43840,in,nesbox,se,,,,
L14406160,US-NC,0.00000,2.43840,in,nesbox,se,,,,
L14429980,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14447788,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14447854,US-NC,0.00000,1.82880,in,nesbox,,,,,
L14447889,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14467188,US-NC,0.00000,2.43840,in,nesbox,,,,,
L12693999,US-NC,152.40000,1.67640,on,poptow,,,NW-golf,NW-oth,
L344787,US-NC,152.40000,1.42040,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344788,US-NC,141.12240,1.47220,in,nesbox,e,3.81000,NW-golf,NW-ry,
L344789,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-golf,NW-golf,
L344790,US-NC,152.40000,1.52400,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344792,US-NC,149.35200,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L344793,US-NC,152.40000,1.79830,in,nesbox,e,3.81000,NW-golf,NW-golf,
L344795,US-NC,152.40000,1.42040,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344798,US-NC,152.40000,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L344794,US-NC,152.40000,1.52400,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694128,US-NC,152.40000,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L344801,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-for,NW-golf,
L344802,US-NC,152.40000,1.49350,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344804,US-NC,152.40000,1.67640,in,nesbox,e,1.62500,NW-golf,NW-golf,
L12694231,US-NC,152.40000,1.52400,in,nesbox,ne,4.06400,NW-for,NW-golf,
L344805,US-NC,152.40000,1.44780,in,nesbox,nw,4.12800,NW-for,NW-golf,
L344807,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694275,US-NC,152.40000,1.82880,in,nesbox,ne,4.12800,NW-for,NW-golf,
L344810,US-NC,152.40000,1.82880,in,nesbox,ne,1.62500,NW-golf,NW-golf,
L344811,US-NC,152.40000,1.42040,in,nesbox,e,2.54000,NW-golf,NW-golf,
L344815,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L14950572,US-NC,219.45600,1.52400,in,nesbox,nw,3.81000,NW-ry,NW-ry,
L12694449,US-NC,152.40000,1.82880,in,nesbox,ne,4.06400,NW-golf,NW-golf,
L5997884,US-NC,,1.82880,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L5997902,US-NC,155.44800,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L6005826,US-NC,0.00000,1.82880,in,nesbox,,,NW-for,NW-golf,
L5997935,US-NC,155.75280,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997912,US-NC,156.97200,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997810,US-NC,156.66720,1.82880,in,nesbox,ne,,NW-golf,NW-golf,
L5997949,US-NC,160.32480,1.82880,in,nesbox,e,3.81000,NW-for,NW-golf,
L14447735,US-NC,0.00000,1.82880,in,nesbox,se,38.10000,NW-ry,NW-for,
L14995710,US-NC,6.09600,1.37160,in,nesbox,e,3.81000,NW-ry,NW-ry,
L14998793,US-NC,,,,nesbox,e,,,,
L15113272,US-NC,,,in,nesbox,,,,,
L15113286,US-NC,,,in,nesbox,,,,,
L15212228,US-NC,,,,nesbox,,,,,
L15226209,US-NC,,1.52400,on,poptow,,,NW-ry,NW-for,
L15226316,US-NC,,1.82880,on,poptow,,,NW-ry,NW-for,
L15265967,US-NC,,1.22000,,nesbox,se,,,,
L15266637,US-NC,,1.52000,,nesbox,ne,,,,
L15268093,US-NC,,1.22000,,nesbox,s,,,,
L15271241,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L7299149,US-NC,16.76400,1.52400,on,poptow,ne,3.17500,NW-ry,NW-ry,
L15492095,US-NC,160.02000,1.52100,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L15586817,US-NC,,1.83000,,nesbox,ne,,,,
L15763167,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-park,
L15762816,US-NC,,1.52400,in,nesbox,nw,3.81000,NW-park,NW-park,
L344814,US-NC,152.40000,1.52400,in,nesbox,n,4.12800,NW-golf,NW-golf,
L344791,US-NC,152.40000,1.49350,in,nesbox,n,1.62500,NW-golf,NW-ry,
L15332433,US-NC,2.74320,1.52400,in,nesbox,,3.81000,NW-ry,NW-ry,
L16481639,US-NC,295.65600,1.82880,in,nesbox,n,3.81000,NW-ry,NW-for,
L8880189,US-NC,,1.55450,in,nesbox,n,3.81000,NW-for,NW-golf,
L14078974,US-NC,,1.58500,in,nesbox,s,3.81000,NW-ry,NW-ry,
L17560254,US-NC,295.65600,1.82880,in,nesbox,nw,3.81000,NW-chap,NW-for,
L13826594,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L16828121,US-NC,228.60000,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L17851845,US-NC,,,,nesbox,,,,,
L1042274,US-NC,,1.52400,in,nesbox,,,NW-ry,NW-ry,
L17886441,US-NC,,2.13360,in,nesbox,se,3.81000,NW-for,NW-ry,
L17952847,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L17964967,US-NC,,1.37000,,nesbox,,,,,
L17964996,US-NC,,,,nesbox,,,,,
L18041711,US-NC,,1.83000,,nesbox,s,,,,
L18062708,US-NC,148.13280,1.52400,in,nesbox,nw,3.81000,NW-campus,NW-campus,
L18062778,US-NC,152.09520,1.52400,in,nesbox,nw,3.81000,NW-ry,NW-ry,
L18062799,US-NC,152.09520,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L18067158,US-NC,96.01200,1.52400,in,nesbox,e,3.81000,NW-ry,NW-for,
L18139991,US-NC,99.97440,1.58500,in,nesbox,nw,2.54000,NW-ry,NW-ry,
L18140015,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-ry,NW-ry,
L18174014,US-NC,,1.82880,in,nesbox,w,3.81000,NW-ry,NW-ry,
L18205119,US-NC,,,on,poptow,,,NW-grass,NW-for,
L18223057,US-NC,,,,nesbox,,,,,
L18238743,US-NC,102.10800,,in,nesbox,nw,,NW-ry,,
L18241693,US-NC,148.13280,1.57580,in,nesbox,se,3.81000,NW-ry,NW-oth,
L18242491,US-NC,,,,nesbox,,,,,
L18246453,US-NC,,2.13360,in,nesbox,se,3.81000,NW-ry,NW-for,
L1042292,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L1042271,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L1039032,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L18256994,US-NC,,1.52000,,nesbox,e,,,,
L18294506,US-NC,182.88000,1.82880,on,poptow,,,NW-ry,NW-for,
L8880260,US-NC,,1.70080,in,nesbox,e,3.81000,NW-golf,NW-golf,
L8880178,US-NC,,1.67640,in,nesbox,e,3.81000,NW-golf,NW-golf,
L18315054,US-NC,,1.52000,,nesbox,e,,,,
L18316985,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L18336969,US-NC,,2.13000,,nesbox,w,,,,
L18390159,US-NC,,,,nesbox,,,,,
L18395426,US-NC,,1.67640,in,nesbox,,,NW-campus,NW-campus,
L11549725,US-NC,24.99360,1.21920,in,nesbox,sw,,NW-ry,NW-for,
L18516062,US-NC,,1.52000,,nesbox,e,,,,
L18549098,US-NC,,2.44000,,nesbox,e,,,,
L18619044,US-NC,362.10240,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L18638899,US-NC,,2.44000,,nesbox,e,,,,
L18721723,US-NC,,1.46000,,nesbox,s,,,,
L18722134,US-NC,,1.68000,,nesbox,ne,,,,
L18851820,US-NC,,1.82880,in,nesbox,n,,NW-for,NW-ry,
L18898468,US-NC,,1.82880,in,nesbox,e,,NW-ry,NW-road,
L18898468,US-NC,,1.82880,in,nesbox,e,,NW-ry,NW-road,
L18939691,US-NC,,4.57200,in,nesbox,w,27.94000,NW-ry,NW-fw,
L18975679,US-NC,,1.37160,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L18978123,US-NC,,1.52000,,nesbox,se,,,,
L19016109,US-NC,,1.83000,,nesbox,s,,,,
L19099846,US-NC,,2.13360,in,nesbox,nw,38.10000,NW-ry,NW-ry,
L19127153,US-NC,,1.37000,,nesbox,se,,,,
L19146374,US-NC,,1.52000,,nesbox,,,,,
L19149343,US-NC,,1.52000,,nesbox,ne,,,,
L19276800,US-NC,,1.83000,,nesbox,e,,,,
L19283892,US-NC,,,,nesbox,,,,,
L19418113,US-NC,96.01200,,in,nesbox,ne,,NW-ry,,
L19540229,US-NC,,1.83000,,nesbox,s,,,,
L19674414,US-NC,,,,nesbox,n,,,,
L8880841,US-NC,231.95280,1.67640,in,nesbox,w,2.54000,NW-ry,NW-ry,
L19722552,US-NC,,1.52000,,nesbox,e,,,,
L19764820,US-NC,,1.83000,,nesbox,nw,,,,
L19790977,US-NC,,,,nesbox,,,,,
L19823787,US-NC,,1.52000,,nesbox,se,,,,
L19877588,US-NC,294.13200,1.52400,in,nesbox,n,3.81000,NW-ry,NW-ry,
L19979694,US-NC,,,,nesbox,,,,,
L19986544,US-NC,91.44000,3.65760,in,other,,,NW-ry,NW-ry,
L15332433,US-NC,2.74320,1.21920,in,nesbox,e,3.81000,NW-ry,NW-ry,
L20166314,US-NC,,,,nesbox,,,,,
L20233767,US-NC,152.40000,1.52400,in,nesbox,ne,3.81000,NW-park,NW-for,
L18062686,US-NC,148.13280,1.52400,in,nesbox,se,3.81000,NW-campus,NW-campus,
L20233825,US-NC,152.40000,1.52400,in,nesbox,se,3.81000,NW-campus,NW-for,
L20233861,US-NC,152.40000,1.52400,in,nesbox,ne,3.81000,NW-campus,NW-for,
L20807685,US-NC,,,in,nesbox,,,,,
L20807695,US-NC,,,in,nesbox,,,,,
L20807699,US-NC,,,in,nesbox,,,,,
L20807703,US-NC,,,in,nesbox,,,,,
L20807724,US-NC,,1.52400,in,nesbox,e,3.81000,NW-for,NW-park,
L21461070,US-NC,,1.52400,on,poptow,,,NW-for,NW-grass,
L25354108,US-NC,,,,nesbox,,,,,
L25354109,US-NC,,,,nesbox,,,,,
L25354111,US-NC,,,,nesbox,,,,,
L25354112,US-NC,,,,nesbox,,,,,
L25354113,US-NC,,,,nesbox,,,,,
L25354114,US-NC,,,,nesbox,,,,,
L1425368,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,
L1460986,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L154644,US-NC,104.90000,1.37160,in,nesbox,w,3.17500,NW-park,NW-park,
L154645,US-NC,102.10000,1.37160,in,nesbox,ne,3.17500,NW-park,NW-park,
L154648,US-NC,103.60000,1.37160,in,nesbox,s,3.17500,NW-road,NW-for,
L154650,US-NC,101.50000,1.98120,in,nesbox,ne,3.17500,NW-park,NW-park,
L154658,US-NC,95.10000,1.79830,in,nesbox,ne,3.17500,NW-road,NW-for,
L154659,US-NC,120.40000,1.79830,in,nesbox,s,3.17500,NW-ry,NW-ry,
L154660,US-NC,95.70000,1.88980,in,nesbox,ne,3.17500,NW-road,NW-for,
L154662,US-NC,107.60000,1.79830,in,nesbox,se,3.17500,NW-road,NW-for,
L154663,US-NC,73.20000,1.85930,in,nesbox,ne,3.17500,NW-for,NW-for,
L1924870,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L692317,US-NC,137.19960,1.67640,in,nesbox,se,3.81000,NW-ry,NW-ry,
