Site Identifier,Location,Elevation (m),Nest Height (m),Substrate Relation,Substrate,Entrance Orientation,Cavity Entrance Diameter,Primary Habitat,Secondary Habitat,Human-Modified Habitat
L1037275,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037651,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037653,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038124,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038127,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038143,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039038,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1040903,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1040932,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042191,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042195,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1042250,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1113180,US-NC,,,in,nesbox,,,,,
L1131654,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1425551,US-NC,,1.52400,in,nesbox,n,3.81000,NW-human,NW-grass,NW-park
L1425558,US-NC,,1.52400,in,nesbox,n,3.81000,NW-grass,NW-human,NW-park
L3602114,US-NC,,1.52400,in,nesbox,e,3.17500,NW-ry,NW-ry,
L3794483,US-NC,691.89600,1.58500,in,nesbox,e,3.81000,NW-ag,NW-ag,
L3794518,US-NC,686.10480,1.43260,in,nesbox,s,3.81000,NW-ag,NW-ag,
L3832934,US-NC,693.11520,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832943,US-NC,680.31360,1.64590,on,poptow,,,NW-ag,NW-ag,
L3832946,US-NC,677.26560,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832954,US-NC,679.39920,1.70690,on,poptow,,,NW-ag,NW-ag,
L3832957,US-NC,669.03600,1.58500,on,poptow,,,NW-ag,NW-ag,
L3832959,US-NC,678.48480,1.73740,on,poptow,,,NW-ag,NW-for,
L3832961,US-NC,699.82080,1.73740,on,poptow,,,NW-ag,NW-ag,
L3832976,US-NC,700.43040,1.67640,on,poptow,,,NW-ag,NW-ag,
L3832989,US-NC,,1.82880,on,poptow,,,NW-ag,NW-road,
L3833003,US-NC,691.59120,1.73740,on,poptow,,,NW-ag,NW-ag,
L4443057,US-NC,99.97440,1.58500,in,nesbox,nw,1.50000,NW-ry,NW-ry,
L4752225,US-NC,263.95680,1.52400,in,nesbox,e,3.81000,NW-ry,NW-for,
L5634100,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-park,NW-park,
L5749955,US-NC,0.00000,1.82880,in,nesbox,ne,,NW-ry,NW-ry,
L5867921,US-NC,,,in,nesbox,,,NW-park,NW-grass,
L5898879,US-NC,,,in,nesbox,,,,,
L2276378,US-NC,,1.52400,on,poptow,,,NW-ry,NW-fw,
L56711,US-NC,152.40000,1.64900,in,nesbox,e,4.14000,NW-ry,,
L7220285,US-NC,204.21600,1.67640,in,nesbox,se,3.81000,NW-for,NW-fw,
L7220537,US-NC,204.21600,1.67640,in,nesbox,e,3.81000,NW-for,NW-ag,
L7256275,US-NC,,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L7330983,US-NC,99.97440,1.58500,in,nesbox,e,,NW-park,NW-park,
L2739568,US-NC,152.40000,1.82880,in,nesbox,e,2.54000,NW-for,NW-ry,
L8838634,US-NC,,,in,nesbox,s,,NW-ag,NW-for,
L8838674,US-NC,,1.52400,in,nesbox,se,,NW-grass,NW-for,
L8853788,US-NC,,1.54840,in,nesbox,ne,3.81000,NW-golf,NW-ry,
L8853937,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L8853979,US-NC,,1.49960,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8954653,US-NC,,,in,nesbox,s,,NW-ry,NW-for,
L9353749,US-NC,120.09000,1.82880,on,poptow,,,NW-ry,NW-for,
L10371535,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10683752,US-NC,222.50400,1.82880,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10690935,US-NC,222.50400,2.13360,in,nesbox,s,3.81000,NW-for,NW-golf,
L10765858,US-NC,222.50400,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L10765914,US-NC,216.40800,1.52400,in,nesbox,sw,3.17500,NW-ry,NW-ry,
L10371429,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10683814,US-NC,222.50400,1.82880,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L5611224,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L3585836,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-park,NW-park,
L5634035,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10940406,US-NC,99.97440,1.58500,in,nesbox,e,,NW-park,NW-park,
L10940514,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10940549,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L10940442,US-NC,99.97440,1.58500,in,nesbox,e,3.81000,NW-park,NW-park,
L11033875,US-NC,129.84480,1.82880,in,nesbox,w,3.81000,NW-ry,NW-ry,
L9353569,US-NC,95.09760,1.82880,on,poptow,se,3.81000,NW-ry,NW-ag,
L9541944,US-NC,362.10240,1.67640,in,nesbox,n,3.81000,NW-ry,NW-ry,
L11042130,US-NC,207.26400,2.13360,in,nesbox,e,3.81000,NW-road,NW-for,
L11042151,US-NC,207.26400,1.98120,in,nesbox,e,3.81000,NW-ag,NW-for,
L10742306,US-NC,216.40800,1.82880,in,nesbox,e,3.17500,NW-for,NW-ry,
L11335525,US-NC,270.11380,1.82880,in,nesbox,s,,NW-ry,NW-for,
L13034845,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13034930,US-NC,0.00000,1.52400,in,nesbox,e,,,,
L13035008,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13035091,US-NC,0.00000,1.52400,in,nesbox,e,,,,
L13035278,US-NC,0.00000,1.52400,in,nesbox,,,,,
L13819775,US-NC,219.45600,1.98120,in,nesbox,e,3.81000,NW-for,NW-ry,
L13819832,US-NC,216.40800,1.67640,in,nesbox,s,3.81000,NW-park,NW-park,
L13826625,US-NC,219.45600,1.82880,in,nesbox,s,3.81000,NW-ry,NW-ry,
L13474162,US-NC,,,in,nesbox,,,,,
L13467988,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-grass,NW-grass,
L13474168,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-grass,
L13559235,US-NC,,1.52400,in,nesbox,se,3.81000,NW-park,NW-park,
L13559381,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-for,
L13559253,US-NC,,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L13559391,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-for,
L13559429,US-NC,,1.52400,in,nesbox,n,3.81000,NW-park,NW-fw,
L13559441,US-NC,,1.52400,in,nesbox,se,3.17500,NW-park,NW-for,
L13559467,US-NC,,1.52400,in,nesbox,w,3.81000,NW-park,NW-park,
L13951335,US-NC,,1.60020,in,nesbox,se,3.81000,NW-ry,NW-ry,
L13951387,US-NC,,1.58500,in,nesbox,se,3.81000,NW-ry,NW-ry,
L8853844,US-NC,,1.57280,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8854014,US-NC,,1.60020,in,nesbox,sw,3.81000,NW-golf,NW-ry,
L14103253,US-NC,0.00000,1.46300,in,nesbox,e,,,,
L14145500,US-NC,0.00000,1.82880,in,nesbox,e,,,,
L14145608,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14145665,US-NC,0.00000,1.82880,in,nesbox,n,,,,
L14145900,US-NC,0.00000,1.82880,in,nesbox,se,,,,
L14145998,US-NC,0.00000,1.82880,in,nesbox,sw,,,,
L14146381,US-NC,0.00000,1.82880,in,nesbox,n,,,,
L14326639,US-NC,244.14480,1.52400,on,poptow,,,NW-ry,NW-for,
L13474177,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-park,NW-park,
L14386136,US-NC,231.64800,1.37160,in,nesbox,se,3.81000,NW-ry,NW-ry,
L12693999,US-NC,152.40000,1.67640,on,poptow,,,NW-golf,NW-oth,
L344787,US-NC,152.40000,1.42040,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344789,US-NC,152.40000,1.49350,in,nesbox,e,1.62500,NW-golf,NW-golf,
L344790,US-NC,152.40000,1.52400,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344792,US-NC,149.35200,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L344793,US-NC,152.40000,1.79830,in,nesbox,e,3.81000,NW-golf,NW-golf,
L344795,US-NC,152.40000,1.42040,in,nesbox,n,1.62500,NW-golf,NW-golf,
L344798,US-NC,152.40000,1.49350,in,nesbox,e,4.12800,NW-golf,NW-golf,
L344794,US-NC,152.40000,1.52400,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694128,US-NC,152.40000,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L344802,US-NC,152.40000,1.49350,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344804,US-NC,152.40000,1.67640,in,nesbox,e,1.62500,NW-golf,NW-golf,
L12694231,US-NC,152.40000,1.52400,in,nesbox,ne,4.06400,NW-for,NW-golf,
L344805,US-NC,152.40000,1.44780,in,nesbox,nw,4.12800,NW-for,NW-golf,
L344807,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694275,US-NC,152.40000,1.82880,in,nesbox,ne,4.12800,NW-for,NW-golf,
L344810,US-NC,152.40000,1.82880,in,nesbox,ne,1.62500,NW-golf,NW-golf,
L344811,US-NC,152.40000,1.42040,in,nesbox,e,2.54000,NW-golf,NW-golf,
L344815,US-NC,152.40000,1.82880,in,nesbox,e,4.12800,NW-golf,NW-golf,
L12694449,US-NC,152.40000,1.82880,in,nesbox,ne,4.06400,NW-golf,NW-golf,
L5997884,US-NC,,1.82880,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L5997902,US-NC,155.44800,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L6005826,US-NC,0.00000,1.82880,in,nesbox,,,NW-for,NW-golf,
L5997935,US-NC,155.75280,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997912,US-NC,156.97200,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997810,US-NC,156.66720,1.82880,in,nesbox,ne,,NW-golf,NW-golf,
L5997949,US-NC,160.32480,1.82880,in,nesbox,e,3.81000,NW-for,NW-golf,
L15113286,US-NC,,,in,nesbox,,,,,
L15148807,US-NC,,1.52400,in,nesbox,se,3.81000,NW-golf,NW-golf,
L15226209,US-NC,,1.52400,on,poptow,,,NW-ry,NW-for,
L15226316,US-NC,,1.82880,on,poptow,,,NW-ry,NW-for,
L15265677,US-NC,,1.52000,,nesbox,w,,,,
L15266637,US-NC,,1.52000,,nesbox,ne,,,,
L7299149,US-NC,16.76400,1.52400,on,poptow,ne,3.17500,NW-ry,NW-ry,
L15492095,US-NC,160.02000,1.52100,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L15586817,US-NC,,1.83000,,nesbox,ne,,,,
L15763167,US-NC,,1.52400,in,nesbox,s,3.81000,NW-park,NW-park,
L344814,US-NC,152.40000,1.52400,in,nesbox,n,4.12800,NW-golf,NW-golf,
L344791,US-NC,152.40000,1.49350,in,nesbox,n,1.62500,NW-golf,NW-ry,
L16481639,US-NC,295.65600,1.82880,in,nesbox,n,3.81000,NW-ry,NW-for,
L10891784,US-NC,,1.60020,in,nesbox,e,3.81000,NW-golf,NW-golf,
L11176225,US-NC,301.44720,19.81200,in,nesbox,n,3.81000,NW-ry,NW-ry,
L13826594,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L17727101,US-NC,219.45600,1.52400,in,nesbox,n,3.81000,NW-ry,NW-for,
L16828121,US-NC,228.60000,1.52400,in,nesbox,e,3.81000,NW-park,NW-park,
L1042274,US-NC,,1.52400,in,nesbox,,,NW-ry,NW-ry,
L17886441,US-NC,,2.13360,in,nesbox,se,3.81000,NW-for,NW-ry,
L18062738,US-NC,148.13280,1.52400,in,nesbox,ne,3.81000,NW-campus,NW-for,
L18139991,US-NC,99.97440,1.58500,in,nesbox,s,3.81000,NW-ry,NW-ry,
L18140015,US-NC,99.97440,1.58500,in,nesbox,n,3.81000,NW-ry,NW-ry,
L18205119,US-NC,,,on,poptow,,,NW-grass,NW-for,
L1042292,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L1039032,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L8880260,US-NC,,1.70080,in,nesbox,e,3.81000,NW-golf,NW-golf,
L8880178,US-NC,,1.67640,in,nesbox,e,3.81000,NW-golf,NW-golf,
L18315054,US-NC,,1.52000,,nesbox,e,,,,
L18395426,US-NC,,1.67640,in,nesbox,,,NW-campus,NW-campus,
L18551842,US-NC,,3.05000,,ltrbra,,,,,
L18619044,US-NC,362.10240,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L18691425,US-NC,3.04800,,in,nesbox,ne,,NW-ry,,
L19283892,US-NC,,,,nesbox,,,,,
L8880841,US-NC,231.95280,1.67640,in,nesbox,w,2.54000,NW-ry,NW-ry,
L19790977,US-NC,,,,nesbox,,,,,
L19877588,US-NC,294.13200,1.52400,in,nesbox,n,3.81000,NW-ry,NW-ry,
L19986544,US-NC,91.44000,3.65760,in,other,,,NW-ry,NW-ry,
L20233767,US-NC,152.40000,1.52400,in,nesbox,ne,3.81000,NW-park,NW-for,
L18062686,US-NC,148.13280,1.52400,in,nesbox,se,3.81000,NW-campus,NW-campus,
L20233825,US-NC,152.40000,1.52400,in,nesbox,se,3.81000,NW-campus,NW-for,
L22449262,US-NC,,1.83000,,nesbox,n,,,,
L8854135,US-NC,,1.67640,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L18316985,US-NC,,1.52400,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L8853997,US-NC,,1.70080,in,nesbox,se,3.81000,NW-golf,NW-ry,
L9164878,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L8853881,US-NC,,1.65200,in,nesbox,s,3.81000,NW-ry,NW-ry,
L8853895,US-NC,,1.57580,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L11354672,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-ry,
L10949281,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-golf,
L22802929,US-NC,,1.82880,in,nesbox,e,2.68300,NW-ry,,
L22864493,US-NC,,1.82880,in,nesbox,e,3.81000,NW-for,NW-ry,
L22868252,US-NC,,1.52400,in,nesbox,e,,NW-park,NW-fw,
L22868559,US-NC,,,in,nesbox,e,,NW-ry,NW-ry,
L22922228,US-NC,,,,nesbox,,,,,
L22948751,US-NC,121.92000,1.52400,in,nesbox,e,3.81000,NW-for,NW-ry,
L22962205,US-NC,,,,nesbox,,,,,
L23002894,US-NC,,1.52000,,nesbox,se,,,,
L10891740,US-NC,,1.67640,on,poptow,s,3.81000,NW-ry,NW-ry,
L10949323,US-NC,,1.70080,on,poptow,n,4.44500,NW-ry,NW-golf,
L14013744,US-NC,,1.37160,on,poptow,nw,3.81000,NW-ry,NW-golf,
L14013796,US-NC,282.24480,1.54840,on,poptow,s,3.81000,NW-ry,NW-ry,
L8853918,US-NC,,1.57280,on,poptow,n,4.44500,NW-golf,NW-golf,
L8853937,US-NC,,1.62460,on,poptow,e,3.81000,NW-ry,NW-ry,
L8853979,US-NC,,1.54840,on,poptow,se,4.44500,NW-golf,NW-ry,
L8854027,US-NC,,1.57280,on,poptow,ne,3.81000,NW-golf,NW-ry,
L8996488,US-NC,,1.92940,on,poptow,s,3.81000,NW-ry,NW-ry,
L9069442,US-NC,,1.60020,on,poptow,se,3.81000,NW-ry,NW-ry,
L9514555,US-NC,,1.62460,on,poptow,s,3.81000,NW-ry,NW-ry,
L22829448,US-NC,228.60000,1.82880,in,nesbox,e,3.81000,NW-ry,NW-ry,
L23021250,US-NC,,,,nesbox,,,,,
L23086750,US-NC,,1.52000,,nesbox,e,,,,
L23094780,US-NC,,1.83000,,nesbox,s,,,,
L14014652,US-NC,,1.53620,in,poptow,se,3.81000,NW-golf,NW-for,
L14014563,US-NC,,157.27680,in,poptow,se,3.81000,NW-ry,NW-ry,
L10891799,US-NC,,1.53620,in,poptow,se,3.81000,NW-ry,NW-golf,
L13951335,US-NC,,1.38380,on,poptow,se,3.81000,NW-ry,NW-ry,
L10949222,US-NC,,1.53620,on,poptow,e,3.81000,NW-ry,NW-golf,
L13951250,US-NC,,1.44780,on,poptow,ne,3.81000,NW-ry,NW-ry,
L13951193,US-NC,,1.62460,on,poptow,sw,3.81000,NW-ry,NW-ry,
L13951036,US-NC,,1.65200,on,poptow,se,3.81000,NW-ry,NW-ry,
L8880273,US-NC,,1.31980,in,nesbox,e,3.81000,NW-ry,NW-ry,
L23161995,US-NC,,1.52000,,nesbox,w,,,,
L23189654,US-NC,,1.37000,,nesbox,e,,,,
L23197351,US-NC,,,in,nesbox,,,,,
L23211632,US-NC,,,in,nesbox,se,,NW-ry,,
L23226427,US-NC,,1.21920,in,nesbox,n,,NW-ry,NW-ag,
L23226474,US-NC,,1.21920,in,nesbox,nw,,NW-for,NW-for,
L23265935,US-NC,,2.44000,,nesbox,e,,,,
L23268915,US-NC,,,,nesbox,,,,,
L23374239,US-NC,,1.52000,,nesbox,se,,,,
L8854046,US-NC,,1.62460,on,poptow,s,3.81000,NW-golf,NW-golf,
L11251957,US-NC,213.36000,1.82880,in,nesbox,se,3.81000,NW-for,NW-fw,
L23472645,US-NC,,,,nesbox,,,,,
L23489324,US-NC,,,,nesbox,,,,,
L23531366,US-NC,,2.44000,,nesbox,w,,,,
L23566297,US-NC,,1.83000,,nesbox,ne,,,,
L23568807,US-NC,,,,nesbox,,,,,
L23665898,US-NC,691.89600,1.82880,in,nesbox,sw,,NW-ry,NW-for,
L17560254,US-NC,295.65600,1.82880,in,nesbox,nw,3.81000,NW-chap,NW-for,
L23785109,US-NC,295.65600,1.82880,in,nesbox,sw,3.81000,NW-park,NW-for,
L23086750,US-NC,,1.67640,in,nesbox,e,3.81000,NW-pwrln,NW-for,
L23827222,US-NC,,,,nesbox,,,,,
L8853602,US-NC,,1.70690,on,poptow,n,3.81000,NW-golf,NW-ry,
L8853687,US-NC,,1.44780,on,other,w,3.81000,NW-golf,NW-golf,
L8853702,US-NC,,1.52400,on,poptow,w,3.81000,NW-golf,NW-ry,
L8853830,US-NC,,1.67640,on,poptow,ne,3.81000,NW-ry,NW-ry,
L8880189,US-NC,,1.55450,on,poptow,n,3.81000,NW-for,NW-golf,
L23665898,US-NC,691.89600,1.82880,in,nesbox,sw,3.81000,NW-ry,NW-for,
L24018050,US-NC,,1.68000,in,nesbox,,2.00000,,,
L24052254,US-NC,,,in,nesbox,se,,,,
L24231172,US-NC,,1.52000,on,poptow,,,,,
L24279375,US-NC,,1.52000,in,nesbox,,5.08000,,,
L24422933,US-NC,271.88160,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L24423202,US-NC,271.88160,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L24422933,US-NC,271.88160,1.52400,in,nesbox,,3.81000,NW-campus,NW-campus,
L24482649,US-NC,95.09760,1.82880,in,nesbox,e,3.81000,NW-ry,NW-for,
L24535511,US-NC,,1.37000,in,nesbox,nw,3.81000,,,
L24537027,US-NC,,1.98000,in,nesbox,e,12.70000,,,
L24680147,US-NC,2.43840,,in,nesbox,,,,,
L14013796,US-NC,282.24480,1.54840,on,poptow,s,3.81000,NW-ry,NW-ry,
L24782960,US-NC,,0.91000,in,other,,,,,
L15492095,US-NC,160.02000,1.52100,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L12694449,US-NC,152.40000,1.82880,in,nesbox,ne,4.06400,NW-golf,NW-golf,
L5997884,US-NC,,1.82880,in,nesbox,ne,3.81000,NW-golf,NW-golf,
L5997935,US-NC,155.75280,1.82880,in,nesbox,ne,3.81000,NW-for,NW-golf,
L5997810,US-NC,156.66720,1.82880,in,nesbox,ne,,NW-golf,NW-golf,
L24832466,US-NC,,1.52000,in,nesbox,,,,,
L24946566,US-NC,,2.13000,in,nesbox,,3.81000,,,
L25060970,US-NC,,1.52000,in,nesbox,ne,3.81000,,,
L25176114,US-NC,,1.52000,in,nesbox,,,,,
L25251899,US-NC,,2.13000,in,other,,,,,
L25260024,US-NC,118.87200,1.82880,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L25269277,US-NC,152.40000,1.82880,in,nesbox,se,10.16000,NW-fw,NW-for,
L25354107,US-NC,,,,nesbox,,,,,
L25354109,US-NC,,,,nesbox,,,,,
L25354110,US-NC,,,,nesbox,,,,,
L25354111,US-NC,,,,nesbox,,,,,
L25354113,US-NC,,,,nesbox,,,,,
L25354114,US-NC,,,,nesbox,,,,,
L25354115,US-NC,,,,nesbox,,,,,
L25536231,US-NC,213.36000,1.21920,on,poptow,,,NW-ry,NW-ry,
L15332433,US-NC,2.74320,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L26122362,US-NC,,1.83000,in,nesbox,s,,,,
L1425368,US-NC,,1.52400,in,nesbox,ne,3.81000,NW-grass,NW-grass,
L1460986,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L154643,US-NC,111.30080,1.37160,in,nesbox,e,3.17500,NW-park,NW-for,
L154644,US-NC,104.90000,1.37160,in,nesbox,w,3.17500,NW-park,NW-park,
L154648,US-NC,103.60000,1.37160,in,nesbox,s,3.17500,NW-road,NW-for,
L154650,US-NC,101.50000,1.98120,in,nesbox,ne,3.17500,NW-park,NW-park,
L154658,US-NC,95.10000,1.79830,in,nesbox,ne,3.17500,NW-road,NW-for,
L154660,US-NC,95.70000,1.88980,in,nesbox,ne,3.17500,NW-road,NW-for,
L154661,US-NC,107.60000,1.82880,in,nesbox,n,3.17500,NW-for,NW-for,
L154662,US-NC,107.60000,1.79830,in,nesbox,se,3.17500,NW-road,NW-for,
L154663,US-NC,73.20000,1.85930,in,nesbox,ne,3.17500,NW-for,NW-for,
L1606502,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L1924870,US-NC,,,in,nesbox,,,NW-ry,NW-ry,
L2704851,US-NC,,,in,nesbox,n,,NW-ry,NW-ry,
L2737601,US-NC,,1.52400,in,nesbox,s,2.85800,NW-ry,NW-ry,
L2980575,US-NC,104.90000,1.52400,in,nesbox,e,3.17500,NW-park,NW-for,
L692317,US-NC,137.19960,1.67640,in,nesbox,se,3.81000,NW-ry,NW-ry,
